iter	Logloss
0	0.6912663084
1	0.6885487685
2	0.6858969597
3	0.683443657
4	0.681533138
5	0.6796163029
6	0.6769668694
7	0.6746440425
8	0.6733314578
9	0.671935493
10	0.6696610767
11	0.6685546531
12	0.6669188057
13	0.6645577691
14	0.6618633765
15	0.6601588752
16	0.6584499808
17	0.6560081676
18	0.6536748246
19	0.6518779211
20	0.6503468947
21	0.648320607
22	0.6463489472
23	0.6441311969
24	0.6428574056
25	0.6410726525
26	0.6398816767
27	0.6380622997
28	0.6364252508
29	0.6349004171
30	0.6334794702
31	0.6318183249
32	0.6297116639
33	0.6286752539
34	0.6273437721
35	0.6259667369
36	0.6247856021
37	0.6237111114
38	0.6222606109
39	0.6204324131
40	0.6183191266
41	0.6170542849
42	0.6154095746
43	0.6141952801
44	0.6123589255
45	0.6103321026
46	0.6090103407
47	0.6074109724
48	0.6062234571
49	0.6048752106
50	0.6032491792
51	0.6013943469
52	0.6000387215
53	0.5988378483
54	0.598047558
55	0.596929131
56	0.5960485738
57	0.5946700569
58	0.5934577438
59	0.5920489495
60	0.5908668219
61	0.5897994791
62	0.5886226027
63	0.5874594803
64	0.586285426
65	0.5844972309
66	0.5837774852
67	0.5826594964
68	0.5813891031
69	0.5799557839
70	0.5784504975
71	0.5770326203
72	0.5761540455
73	0.5752025885
74	0.573801454
75	0.5724552546
76	0.5717113142
77	0.5708341139
78	0.5700815505
79	0.5686630799
80	0.5676939388
81	0.5664311867
82	0.5656059156
83	0.5648298157
84	0.5641797776
85	0.5630477373
86	0.5621992592
87	0.5614137166
88	0.5605659435
89	0.5597684571
90	0.558840046
91	0.5578025935
92	0.5569143477
93	0.5560274404
94	0.5554245595
95	0.5546496597
96	0.5541174369
97	0.5530800526
98	0.5524343434
99	0.5515053086
